iter	Passed	Remaining
0	6	1341
1	14	1386
2	20	1330
3	26	1294
4	33	1290
5	38	1258
6	44	1227
7	50	1218
8	56	1202
9	63	1202
10	69	1188
11	75	1180
12	81	1175
13	87	1158
14	93	1153
15	99	1143
16	105	1135
17	111	1130
18	117	1119
19	123	1111
20	130	1113
21	136	1104
22	143	1108
23	149	1098
24	153	1071
25	159	1070
26	165	1062
27	171	1056
28	178	1054
29	184	1047
30	191	1042
31	197	1034
32	203	1029
33	210	1027
34	216	1018
35	222	1013
36	228	1008
37	234	1000
38	241	995
39	246	986
40	253	981
41	259	975
42	265	969
43	272	965
44	278	959
45	284	953
46	291	948
47	297	941
48	303	935
49	310	930
50	316	924
51	323	919
52	329	912
53	334	905
54	341	901
55	347	894
56	354	889
57	360	882
58	367	877
59	374	873
60	380	867
61	387	862
62	393	855
63	399	848
64	406	843
65	412	836
66	418	829
67	424	823
68	430	817
69	436	811
70	443	805
71	449	799
72	456	793
73	462	788
74	469	783
75	476	777
76	482	771
77	489	765
78	495	759
79	502	753
80	508	746
81	513	739
82	519	732
83	526	726
84	533	721
85	539	715
86	545	708
87	552	703
88	559	697
89	566	692
90	572	685
91	579	680
92	586	674
93	592	667
94	598	661
95	604	654
96	610	648
97	617	642
98	622	635
99	629	629
100	634	621
101	640	615
102	647	609
103	652	602
104	659	596
105	665	590
106	671	583
107	678	577
108	684	571
109	690	564
110	696	558
111	702	551
112	708	545
113	714	539
114	721	532
115	728	527
116	733	520
117	739	514
118	746	508
119	752	501
120	759	495
121	766	490
122	773	484
123	781	478
124	787	472
125	795	466
126	801	460
127	808	455
128	814	448
129	817	440
130	823	433
131	829	427
132	836	421
133	843	415
134	849	408
135	855	402
136	861	396
137	868	390
138	874	383
139	879	377
140	885	370
141	891	364
142	897	357
143	904	351
144	910	345
145	916	338
146	922	332
147	928	326
148	933	319
149	940	313
150	946	307
151	952	300
152	958	294
153	964	287
154	969	281
155	975	275
156	981	268
157	987	262
158	993	256
159	999	249
160	1005	243
161	1011	237
162	1017	230
163	1024	224
164	1029	218
165	1036	212
166	1041	205
167	1047	199
168	1054	193
169	1059	187
170	1065	180
171	1071	174
172	1077	168
173	1084	162
174	1090	155
175	1096	149
176	1102	143
177	1107	136
178	1114	130
179	1120	124
180	1126	118
181	1133	112
182	1138	105
183	1144	99
184	1151	93
185	1157	87
186	1163	80
187	1170	74
188	1176	68
189	1183	62
190	1190	56
191	1193	49
192	1200	43
193	1206	37
194	1214	31
195	1220	24
196	1227	18
197	1233	12
198	1240	6
199	1246	0
